Element,ProjectId,FileId,Count,Alias,Kind,Line,PackageName,Supported,Automated,Status,Statement,SessionId,SnowConvertCoreVersion,PandasVersion,CellId,ExecutionId,ParametersInfo,Technology
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pandas,Module,2,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,import pandas,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,2,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,2,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,pandas.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,3,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.__version__,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Variable,2,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotDefined,pandas.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,3,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pd,Module,4,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,14,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"pd.set_option('display.max_rows', 100)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,15,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"pd.set_option('display.max_columns', 50)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,pd,Module,10,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,23,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,pd.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.__version__,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Variable,23,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,False,False,NotDefined,pd.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,1,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"pd.date_range('2024-04', '2024-11', freq = 'MS')",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,16,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.core.indexes.datetimes.date_range,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,1,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Partial,"pd.date_range('2024-04', '2024-11', freq = 'MS')",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,16,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""freq"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pandas,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Module,1,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Direct,"pd.date_range('2024-05', '2024-11', freq = 'MS')",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,27,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.core.indexes.datetimes.date_range,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,1,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Partial,"pd.date_range('2024-05', '2024-11', freq = 'MS')",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,27,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""},{""ParamName"":""freq"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pandas.core.frame.DataFrame.sort_values,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,4,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Partial,"ue_monthly.groupBy('month').agg(F.count('msisdn').alias('num_row'), F.countDistinct('msisdn').alias('num_msisdn')).toPandas().sort_values('month')",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,33,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""False""}]",Python
pandas.core.frame.DataFrame.sort_values,notebook,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,1,,Function,4,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,True,True,Partial,"ue_semesterly.groupBy('event_month').agg(F.count('msisdn').alias('num_row'), F.countDistinct('msisdn').alias('num_msisdn')).toPandas().sort_values('event_month')",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,38,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,pandas,Module,2,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,import pandas,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,2,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,2,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pandas.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,3,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.__version__,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Variable,2,notebook.Sample_2. Pipeline Periodically - Mobility Trip,False,False,NotDefined,pandas.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,3,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,pd,Module,4,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,14,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,"pd.set_option('display.max_rows', 100)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,15,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,"pd.set_option('display.max_columns', 50)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,pd,Module,10,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,23,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.__version__,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Variable,23,notebook.Sample_2. Pipeline Periodically - Mobility Trip,False,False,NotDefined,pd.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,8,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/jak_zone.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.io.parsers.readers.read_csv,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Function,8,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/jak_zone.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,11,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/jak_poi.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.io.parsers.readers.read_csv,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Function,11,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/jak_poi.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,14,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/lau_ref.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.io.parsers.readers.read_csv,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Function,14,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/lau_ref.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,17,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/event.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.io.parsers.readers.read_csv,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Function,17,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/event.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Module,20,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/cfd.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.io.parsers.readers.read_csv,notebook,Sample_2. Pipeline Periodically - Mobility Trip.ipynb,1,,Function,20,notebook.Sample_2. Pipeline Periodically - Mobility Trip,True,True,Direct,pd.read_csv('data/cfd.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,15,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,pandas,Module,2,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,import pandas,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,2,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Module,2,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,pandas.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,3,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.__version__,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Variable,2,notebook.Sample_3a. Pipeline Periodically - Tourism,False,False,NotDefined,pandas.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,3,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,pd,Module,4,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Module,14,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,"pd.set_option('display.max_rows', 100)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Module,15,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,"pd.set_option('display.max_columns', 50)",0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,4,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,pd,Module,10,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,import pandas as pd,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Module,23,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,pd.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.__version__,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Variable,23,notebook.Sample_3a. Pipeline Periodically - Tourism,False,False,NotDefined,pd.__version__,0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,5,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Module,5,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,pd.read_csv('data/jak_zone.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,14,b1fb77a9-958a-495d-82c1-be5dfafc0af9,,Python
pandas.io.parsers.readers.read_csv,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Function,5,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,pd.read_csv('data/jak_zone.csv'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,14,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas.core.frame.DataFrame.tail,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Function,2,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Direct,spark.sql(q).toPandas().tail(11),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,20,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""int"",""ParamType"":""int""}]",Python
pandas.core.frame.DataFrame.sort_values,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Function,1,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Partial,cek.sort_values('event_month'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,23,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
pandas.core.frame.DataFrame.sort_values,notebook,Sample_3a. Pipeline Periodically - Tourism.ipynb,1,,Function,1,notebook.Sample_3a. Pipeline Periodically - Tourism,True,True,Partial,cek.sort_values('event_month'),0f552bec-ad97-4d62-8e6b-5f58f82cb32c,8.00.019,2.01.004,26,b1fb77a9-958a-495d-82c1-be5dfafc0af9,"[{""ParamName"":""str"",""ParamType"":""str"",""IsRegex"":""True""}]",Python
